SENTENCE,LAST_WORD
trên chiếc buồm lướt ván,được
sao cậu,biết
mừng vì cậu đã hỏi,lily
tôi đã làm một bản danh,sách
về mọi phương,tiện
dưới đất dưới nước và trên,không
mà chúng ta có thể quan,hệ
trên hoặc trong,đó
trong số 33 phương tiện đó tôi từng,thử
quan hệ trên hoặc trong 31,loại
buồm lướt,ván
không có trong danh sách không,thể
tái bút để thử đủ 33,loại
tôi cần có một xe trượt,tuyết
và con tàu vũ trụ apollo,11
để có loại,cuối
cậu sẽ phải đột nhập vào viện,smithsonian
ta chưa từng có cuộc nói chuyện,này
được rồi cậu đóng bộ com lê,rồi
tôi cạo râu xong,rồi
hãy ra ngoài đó và chiến,thắng
,được
các cậu chúc vui vẻ với cuộc hẹn đôi,nhé
ôi tôi xin lỗi lần thứ,100
lúc đó đã có bài hát ru,ngủ
sau đó chúng tôi ngủ quên trên bãi,biển
khi đang đếm,sao
anh có muốn ăn tối với tôi,không
với chúng,tôi
không có bài hát ru nào lúc đó,hết
là em nghĩ anh ta cực kỳ hấp dẫn,thôi
em đâu,có
không phải cực,kỳ
hơi khó tin sao anh ta hấp dẫn đến,vậy
nhưng ý em,là
cậu ấy không nghiêm túc với anh,ta
con gái không bao,giờ
cưới một anh chàng nóng,bỏng
em đã làm đó,thôi
em là một trong số ít những người may,mắn
lily ted là bạn thân nhất của chúng,ta
vậy nên hãy làm rõ chuyện,này
gayle nam không hấp,dẫn
anh ta không phải,bạn
đừng nhìn anh ta,nữa
chỉ không giao tiếp bằng,mắt
đêm đó khi lily và,marshall
cố gắng hết sức để ghét,gael
chào robin,gael
robin đã lôi bố ra chỗ khác nói,chuyện
giờ bố chắc chắn khi đó cô ấy có ý,tốt
nhưng điều cô ấy nói lại rất,tệ
em chỉ muốn đảm bảo anh ổn với việc,này
em chỉ muốn đảm,bảo
anh ổn với việc này,à
chết tiệt không thể,tin
cô ấy là người nói ra câu,đó
cô ấy đang thắng phải,không
không lâu đâu được,rồi
diễn văn cổ vũ quỳ một chân,xuống
ted hôm nay bọn tôi sẽ kiếm cho,cậu
một cô hấp dẫn hơn nhiều so với,robin
được rồi robin là mười,điểm
được vậy bọn này sẽ kiếm cho,cậu
một cô 12,điểm
hoặc cậu biết đấy hai lần,sáu
không được thì bốn lần,ba
và đập vỡ kính trong trường hợp khẩn,cấp
ta tới quận staten,island
tôi sẽ kiếm cậu mấy cô,12
ted chàng trai của,tôi
tôi sẽ dạy lại cho cậu,cách
,amy
,ted
,barney
ted chúng ta trở lại,rồi
trên,này
trên cao,này
đập tay năm ngón,nào
xin lỗi tất cả chuyện này thật kỳ,lạ
kỳ lạ à tại sao lại kỳ,lạ
vì em từng hẹn hò với bạn thân của bọn,anh
hay vì vợ anh,nghĩ
bạn trai mới của em cực kỳ hấp,dẫn
em đâu có anh im đi ôi chúa,ơi
em chỉ hy vọng ted sẽ,ổn
anh không thích thấy,em
căng thẳng như,vậy
ý em là chúng em đã chia,tay
trong êm đẹp anh biết,đấy
chúng em đã cư xử như những,người
trưởng thành vậy nên điều cuối,cùng
ôi chúa,ơi
ôi chúa,ơi
gael anh có được cấp,bằng
thợ mát xa trị liệu,không
,sao
anh có được cấp chứng nhận hợp,pháp
bởi tổ chức chính phủ nào,không
tôi được đào tạo suốt ba,năm
ở một học viện tại buenos,aires
tôi có thẻ tôi có thể cho anh,xem
tấm thẻ đó có mỏng,không
ý anh mỏng là,sao
được phủ bởi một lớp nhựa bảo,vệ
à,có
chết,tiệt
anh ta được công nhận,rồi
,ted
,ted
,sao
đi thôi chỗ này chán,chết
ừ cậu nói,đúng
hai ta đều là những kẻ thất,bại
chính xác thêm nữa,là
lịch trình của ta dày đặc,lắm
tôi đã lên hết kế hoạch cho tối nay,rồi
cảnh báo tiết lộ nội dung địa,điểm
cuối cùng sẽ là hộp đêm ngoài,giờ
và đó sẽ là ba ngày kể từ bây,giờ
sao,nào
cậu mù à tôi đang tán một cô 12,điểm
tôi đang,thắng
ừ nhưng tôi không được,giúp
vậy ý cậu là cậu muốn tôi,bỏ
một cô cực kỳ nóng bỏng chỉ,vì
cậu không phải người giúp tôi tán cô,ấy
lời xin lỗi được chấp nhận đi,thôi
anh chàng mặc com lê này là,ai
đây là,barney
barney đây là,amy
tôi sẽ không nhớ tên cô,đâu
giờ thì xin,lỗi
cô nàng ngẫu nhiên nào đó lúc tối,nay
và từ nay về sau sẽ luôn là như,thế
ted và tôi còn có lịch trình phải,đi
anh có thể đánh dấu vào lúc 8,54
ăn mặc như thằng,đần
và làm phiền những người siêu,ngầu
biến đi đồ mọt,sách
hay đấy tommy,lee
xem này cô không hiểu một,điều
rằng tôi là phụ tá của,ted
đó là một mối quan hệ hiếm,có
mạnh mẽ hơn bất,kỳ
họ lại ve vãn nhau,rồi
thợ mát xa trị,liệu
anh biết gì không,gayle
miếng gà của,anh
trông hơi căng thẳng đối với,tôi
đó thấy thoải mái không anh,gà
biết gì,không
tôi chưa có rửa tay,đâu
tóm được anh ta,rồi
,lily
chúng ta mang theo quá,nhiều
cảm xúc cổ xưa trên cổ và,vai
những thứ lẽ ra ta nên giải,phóng
từ nhiều năm,trước
con tha thứ cho,mẹ
lily chúng ta là bạn thân của,ted
việc của ta là ghét anh,ta
đúng rồi đó là việc em vừa làm đấy,thôi
em chỉ đang nâng anh ta,lên
để rồi vài phút,sau
em có thể ném anh ta,xuống
em không mặc áo lót,hả
đêm đó trôi qua tốt,đẹp
amy nóng bỏng và tuyệt,vời
cô ấy đã tìm một người bạn cho,barney
thậm chí còn trả tiền nước gần như,vậy
họ biết bọn,tôi
cô sẽ khiến bọn tôi gặp rắc rối,đấy
nói tôi,nghe
anh có nhờ thợ,may
để thêm không gian chỗ đũng,quần
cho cái âm vật to đùng của anh,không
cô âm vật của,cô
ted cô ả này điên khùng,quá
chúng ta đi,thôi
ý hay đấy về chỗ của tôi,nào
chỗ của,cô
cảm ơn nhưng không đâu,nhé
courtney love,1994
tôi có bồn tắm nước,nóng
công nhận cái này thực ra khá,tuyệt
tôi thích mấy hình xăm của,cô
cảm ơn anh có,thể
chơi với chúng nếu,muốn
trăm phần trăm là thật,đấy
không hình xăm hình xăm của cô,cơ
cảm,ơn
anh nên có một,cái
,sai
ted có ngoại hình sạch sẽ kiểu cổ,điển
không bao giờ thay đổi phong,cách
qua bao thời gian,nhé
vậy à tôi lại nghĩ anh ta sẽ rất quyến,rũ
nếu có thêm ít mực trên,người
không làm gì có chuyện,đó
có,chứ
không bao,giờ
tôi đang sẵn sàng làm bất cứ điều,gì
anh muốn bất cứ điều,gì
ngay bây,giờ
ted cậu sẽ về phía,ai
trong vụ hình xăm,này
tôi nghĩ tôi sẽ quyến rũ hơn,nhiều
nếu thêm ít,mực
đúng vậy,đấy
,ừ
ôi chúa ơi,tyler
mẹ bố cô ấy quay lại,này
chết tiệt lẽ,ra
họ phải đang ở hamptons chứ chạy,thôi
xin lỗi tôi từng trông,trẻ
cho bọn khốn đó trước khi bị sa,thải
thật bất,công
bất,công
không đời nào tôi để cô chăm,sóc
mấy đứa trẻ tôi tưởng tượng,ra
để ghi điểm với mấy bà mẹ đơn,thân
vậy đấy ted chúng ta về,nhà
,ted
ted cậu ổn,chứ
xin chào,ted
robin và tôi sắp chuẩn,bị
có một lần quan hệ đầy,nước
trên chiếc buồm lướt ván,này
em chỉ muốn chắc,chắn
anh thấy ổn với điều,này
được rồi giờ ta làm thế,nào
anh nghĩ chân em sẽ giơ,cao
được rồi sẽ thế nào nếu,em
không của,anh
anh,ổn
trên thực tế anh ổn thế này,này
tôi sẽ đi xăm một,hình
cậu sẽ không đi,xăm
đó không phải,cậu
ted cậu đang đi,lên
con đường tội lỗi,đấy
con đường đó chính,là
đường về nhà của,tôi
nhưng cậu cần một kế hoạch và một phụ,tá
tôi chắc chắn sẽ đưa chuyện này lên,blog
muốn quan hệ,không
,được
xăm,hình
và ở dưới nó sẽ ghi là tôi,thắng
ở dưới đó sẽ là những ngọn lửa bùng,cháy
,lửa
chúng ta nên làm một mồi,lửa
có lẽ sau việc này,đã
ôi trời cái này sẽ đi vào,kinh
chờ mà,xem
đó là tất cả những gì bố,nhớ
sáng hôm sau bố tỉnh dậy ở nhà một,mình
chào anh bạn đêm qua thế,nào
cậu biết không tuyệt,lắm
tôi đã gặp một cô gái điên,rồ
suýt nữa có thêm một hình,xăm
đừng lo tôi đã không xăm nhưng,nó
nó rất,tuyệt
tôi nghĩ tôi có thể,nói
mình đã thắng cuộc chia tay,này
nhìn,kìa
ôi chúa,ơi
,sao
không có,gì
quyển catalog j crew,này
ai lại đem hai con golden,retriever
lên xuồng,chứ
chúng ta phải gọi,barney
còn phải,nói
chào có chuyện gì khẩn cấp,vậy
à nhân tiện tôi sẽ không bao,giờ
nói chuyện lại với ted,nữa
thật ư không bao,giờ
kể cả khi có con,bướm
bay ra khỏi mông cậu ấy,à
gì,cơ
ted cậu lấy hộ,tôi
nồi nấu lẩu phô mai,với
cậu ấy không biết,đâu
đứng dậy,nào
cảm,ơn
,sao
ted sáng nay tôi tới đây,vì
tôi muốn xin lỗi,cậu
được thôi,barney
như cậu,thấy
tôi có thể tự mình làm tốt mọi,việc
tôi không cần người trông,coi
suốt từng ấy thời,gian
tôi cứ nghĩ cậu cần có một phụ tá để,bay
nhưng sự thật là,cậu
giờ đã có cho riêng mình một đôi,cánh
kể từ khi chia tay với,robin
cậu vẫn luôn phát,triển
lớn lên trong cái kén tằm của,mình
đêm qua cậu đã phá kén mà,ra
như một kỳ,quan
chúa ơi con gì lại phá kén mà ra,nhỉ
tôi vẫn luôn dốt môn khoa,học
cậu ấy sắp nói ra,rồi
một con,bướm
,sao
không có gì anh,bạn
sao lại đau,thế
ôi chúa,ơi
tôi có một hình,xăm
ồ đó đâu phải hình,xăm
bạn thân,mến
đó là hình xăm dưới lưng của gái lẳng,lơ
hình xăm của gái lẳng,lơ
là ký hiệu của gái làng,chơi
hình xăm ở giữa lưng,dưới
một loại biển xe của thành phố,panama
đột nhiên mọi ký ức lại ùa về với,bố
,điển
kinh,điển
trời tôi đang là người,thắng
trong cuộc chia tay,này
tôi mới chia tay với bạn trai,steve
anh ta phiền,lắm
anh ta nói em chính là người thích,hợp
anh muốn cưới,em
tên đàn,bà
cô nghĩ có thể làm,bạn
với người yêu cũ,không
ừ có chứ ý là chúng ta vẫn là bạn,mà
phải không,steve
này tên anh là,steve
tên bạn trai cũ của cô ấy cũng là,steve
trùng hợp làm,sao
chờ,đã
không đưa tôi cái,này
phải rồi nó sẽ xóa được hình xăm đó,đấy
có lẽ cậu nên thử dùng soda,đi
chết tiệt đau,thật
tôi cần thuốc mỡ hay cái gì,đó
dầu mát xa tây ban,nha
dầu mát xa tây ban nha,à
đã có chuyện gì ở đây đêm,qua
mọi việc đêm qua khá kỳ,lạ
hãy cảm nhận mọi cảm giác được giải,phóng
tôi nghĩ tôi vừa vượt,qua
cảm giác béo mập hồi lớp,chín
anh đẹp,lắm
tôi rất,đẹp
hãy trải nghiệm các loại đồ ăn của,em
thử món xoài,đi
thôi hoa quả thế là đủ,rồi
chúng tôi xin lỗi,ted
chuyện đó sẽ không bao giờ xảy ra,nữa
nó không có ý nghĩa gì,cả
chỉ là cảm giác thực sự cực kỳ,tốt
giờ tôi không muốn thấy hai người,nữa
,ted
cậu ấy có một cái hình xăm của phụ,nữ
được rồi đầu,tiên
đây không phải mấy thứ,kiểu
anh tới tận đây vì muốn em quay,lại
sẽ không,có
lời thú nhận tình yêu bất ngờ nào,hết
không có bài nhạc indie rock ngọt,ngào
khiến chúng ta sắp sửa hôn,nhau
không có cái gì hết em hiểu,không
,hiểu
được giờ chuyện là thế,này
thật tệ khi em trở về từ,argentina
với một người tuyệt như,gael
và anh,biết
anh không có quyền tức giận với,em
ta đã chia,tay
phải tiếp tục sống gì cũng,được
nhưng em biết không ta chưa làm một,việc
chúng ta chia tay trong êm,đẹp
không cãi vã giận dữ,và
và việc đó không,đúng
vậy nên anh sẽ la,hét
một cách đầy tức giận một,lúc
còn em cứ đứng đó nghe được,chứ
nếu anh thấy anh cần làm,vậy
anh nghĩ anh,cần
anh thực sự nghĩ anh,cần
vậy giờ anh sẽ la hét,đây
anh đã cạo,râu
,đúng
em thích bộ,râu
anh cũng thế nhưng trời đang nóng,lên
có lẽ vào mùa đông anh sẽ nuôi,lại
được rồi anh xong,rồi
em biết thật kỳ,lạ
khi em xuất hiện cùng,gael
em xin,lỗi
nghe này chúng ta chia,tay
là điều đúng,đắn
nhưng sẽ mất thời gian để anh quên,em
em hiểu,chứ
anh vẫn đang cố gắng quên,em
nhưng em lại vượt,qua
ngay khi họ chiếu phim trên máy,bay
vượt qua,à
ba ngày đầu ở,argentina
em đã khóc sưng cả,mắt
em nhớ anh rất,nhiều
em muốn đi và chứng,minh
em thích phiêu lưu thế,nào
nhưng sự thật là em rất cô,đơn
đó là lý do có chuyện của,gael
em không phải,muốn
thắng vụ chia tay này,sao
em đang cố gắng vượt qua,nó
,được
không đấy xem,này
mọi thứ nghe đều rất,tốt
chúng ta vẫn là bạn,bè
và sống tiếp,nhưng
anh ta có cần hấp dẫn thế,không
anh ta cứ như thần adonis,vậy
anh ấy đâu,phải
anh ta là chiếc,cadillac
của những tên thất,tình
marshall còn cảm nắng anh,ta
anh ta là một người hoàn,hảo
anh ấy không hoàn,hảo
thôi nào anh ta hấp,dẫn
lướt ván buồm và là thợ mát,xa
kể ra một thứ anh tốt hơn anh ta xem,nào
anh lớn,hơn
đừng an ủi,anh
anh ta còn cao hơn anh một chút,đấy
không,ted
anh to,hơn
tôi,thắng
các con bố không nhớ chính,xác
điều gì đã giúp bố vượt,qua
sự kiện robin,gael
bố chắc chắn đó phải là một điều,gì
thâm thúy và ý nghĩa,lắm
chứ không phải mấy thứ nam tính vô,nghĩa
nhưng sau tất cả bố lại một lần,nữa
có được sự ổn,định
cuộc sống của bố sau,đó
đã bước sang một thời kỳ,mới
một khoảng thời gian điên,rồ
khác hoàn toàn với trước,đó
giờ nhìn lại những ngày,đó
cảm giác thật vui,vẻ
vì bố biết chính,xác
bố đang hướng đến,đâu
và cái gì đang hướng tới,bố
barney nghe,đây
chào anh bạn marshall,đây
kiểm tra email đi mới gửi mấy,thứ
gì,thế
chỉ là một trang web,mới
demnguocngayantat,com
55 ngày 23 giờ 59 phút 58,giây
cái này nghĩa là,sao
,marshall
,ma
,không
55 ngày 23 giờ 59 phút 41,giây
,không
,1
vậy kết hôn có khác hay,không
hầu như là giống,nhau
trừ việc hình như tôi bị hội chứng tê,tay
tay tôi cứ bị chuột rút,suốt
tôi cứ nghĩ mục đích của việc kết hôn,là
cậu sẽ không cần tự làm việc đó nữa,chứ
không đó là,do
tôi phải viết thư cảm ơn nhiều,quá
hầu hết là,vậy
,ừ
anh ấy cứ phải viết liên,tục
có rất nhiều giấy tờ chúng tôi cần,ký
tài liệu tử vong thư cảm,ơn
tài liệu tử vong là gì,thế
là thứ họ gợi ý cậu làm trong trường,hợp
người phối ngẫu đột ngột tử,vong
đó là tất cả những thông,tin
người phối ngẫu của cậu,cần
được cho hết vào một nơi tiện,lợi
đúng,vậy
thông tin tài,khoản
các địa chỉ quan,trọng
bức thư cho người còn,sống
tất cả mấy thứ,đó
tôi sẽ mua thêm đồ,uống
tôi đúng là một tên,khốn
đúng,đấy
chờ đã tại,sao
tôi đã không,biết
mình phải viết một lá,thư
lily sẽ chỉ tìm thấy trong tài liệu,đó
một đống sao kê ngân,hàng
và danh sách mấy,thứ
có thể làm với tro của,tôi
bánh brownie marshall,ừ
số,sáu
chúa ơi tôi là một ông chồng tồi,tệ
không được tôi sẽ,viết
tối nay tôi sẽ viết một lá thư cho,lily
mọi thứ sẽ,ổn
đúng,thế
trừ,khi
cậu chết trong khoảng thời,gian
từ giờ đến lúc,đó
nhưng điều đó sẽ không bao giờ xảy,ra
đúng nếu có một,điều
chúng ta có thể đảm bảo chắc,chắn
đó là marshall eriksen sẽ không,chết
trước khi viết lá thư,đó
không đời nào chết,được
trên thực tế tôi thách chúa đánh,chết
con người khỏe mạnh,hoàn
tôi biết,rồi
được rồi hai cậu biết tôi có hơi mê,tín
và đang cố làm tôi sợ chết,khiếp
nhưng biết gì chưa không tác dụng,đâu
vậy,đấy
hai cậu là đồ,đểu
sau khi robin và bố chia,tay
dì ấy đã đi xa một thời,gian
xa khỏi ngôi nhà bình,thường
cuộc sống bình,thường
và cả con người bình,thường
của dì ấy,luôn
anh biết,không
ở new york em đã rất căng,thẳng
ý em là ở đây mọi người chia sẻ mọi,thứ
như thể tất cả chúng ta là một quả,bóng
lấp lánh đầy năng lượng tích cực,vậy
không biết từng có ai nghĩ như vậy,chưa
đây ăn,đi
nếu ta hết cá anh sẽ tự tay bắt,thêm
hội những người chơi,trống
mỗi lần họ đều,khác
đi xem,thôi
đây là em ở hội những người chơi,trống
chà em không mặc áo,sao
ted xem,này
thấy,rồi
chà có vẻ là một chuyến đi tuyệt,vời
đúng,vậy
tôi cảm thấy robin khi rời,đi
khác với robin ngày trở,lại
cậu hiểu ý tôi,chứ
chà có nhiều người khỏa,thân
trong này,thế
em đâu có thay đổi,scherbatsky
em vẫn là người new york phức,tạp
thích uống scotch hút xì,gà
ăn thịt đỏ và mang theo,súng
chỉ mang giày và áo,phông
vẻ ngoài là,vậy
em không phải người mát,xa
lướt ván buồm chơi trống,bongo
không uống rượu ăn,chay
chủ nghĩa hòa bình,hippy
giống tên sẽ nhanh,thành
bạn trai cũ của em,gael
ủng hộ tôi đi,ted
tôi vui nếu robin thấy,vui
cảm ơn,anh
trời đất cứ như quyển where s,waldo
với một đống hàng họ ở trong,đó
ngoại trừ việc rất dễ tìm ra,waldo
em đã thay,đổi
và em đang tận hưởng cuộc,sống
gần giống với,cách
gael và em từng làm ở,argentina
thôi,đi
sự lãng mạn trong kỳ,nghỉ
cũng có ngày hết hạn,mà
trên người gael có gắn,nhãn
quan hệ tốt nhất trước ngày hết hạn,đấy
một khi cảm giác lãng mạn qua,đi
em sẽ vứt anh ta xuống cống như sữa,thiu
và quay lại làm một robin chưa thay,đổi
người bọn anh hằng yêu,quý
ủng hộ tôi đi,ted
tôi vui nếu robin thấy,vui
anh nói em nghe trong ba,ngày
anh ấy đến kìa dùng từ khó hiểu,vào
trong ba chu kỳ mặt,trời
em sẽ nhận ra sự thiếu hụt tương,thích
với nhân tình của,em
và kết thúc mối quan,hệ
hành trình của em đầy tính biến,đổi
và em xác nhận lại sự gắn kết của,mình
với cả nhân tình đã nhắc ở,trên
và những triết lý sống anh ấy tin,tưởng
chúng ta đang nói về gì,vậy
bóng chày,à
tất cả điều này rồi sẽ quay,lại
đớp vào bàn tọa của,anh
ủng hộ giả thuyết của tôi đi,ted
tôi hân hoan với niềm hân,hoan
của nhân tình cũ của,tôi
tối hôm,đó
marshall đã ngồi xuống viết lá,thư
mà chú ấy hy,vọng
lily sẽ không bao giờ phải đọc,nó
gửi lily yêu quý ngọt ngào nhất của,anh
hãy để lá thư này trở thành vật dẫn,lối
chú đom đóm nhỏ,bé
giúp em soi sáng con,đường
cho những năm tháng sắp,tới
tình yêu của anh dành cho,em
còn cao hơn dãy,himalaya
sâu hơn cả hồ nước,scotland
trong trường hợp anh,chết
một cách khả nghi thì hãy cẩn,thận
đừng tin bất cứ ai kể cả,ted
đặc biệt đừng tin,ted
hãy biết,rằng
anh sẽ luôn ở đó trong trái tim,em
bất cứ khi nào em cần,anh
và tình yêu anh dành cho em là bất,diệt
thương,mến
kẹo marshmallow của,em
,m
mã pin atm,5459
tài khoản trợ cấp của giáo viên,a3932
hủy đặt tạp chí vogue,đi
,l
buồm lướt ván của,anh
nó đã trôi đi,mất
còn con cá,mập
nó tiến đến ngày càng,gần
người ta bảo rằng để chạy,trốn
em phải đấm vào mũi con cá,mập
nhưng anh nói người anh em cá,mập
hai ta đều,là
những đứa con của mẹ trái,đất
điều tiếp theo anh,nhớ
là anh đang ở bệnh,viện
tên,đó
,ừ
tên,đó
xem hắn có được dễ dàng chưa,kìa
cậu và,tôi
chúng ta phải cố gắng mua vui hết,sức
để khiến phụ nữ thấy vui,vẻ
nhưng tên,đó
mọi phụ nữ trong quán,rượu
đều đang lắng,nghe
từng chữ anh ta nói,ra
dù phát âm có hơi,sai
vì,sao
anh ta đẹp trai hơn hai,ta
không,phải
vì anh ta từ nơi khác,tới
với khẩu âm và nụ cười hồn nhiên,đó
cậu thậm chí không cần cố,gắng
đúng,vậy
thêm vào,đó
cậu cũng sắp sửa đi xa trong vài ngày,nữa
chúa ơi ước gì ta là khách du,lịch
ừ,đấy
thực,ra
cậu biết tôi vẫn luôn,muốn
tới nơi nào,không
thành phố new,york
này nhé chúng ta tới từ một thị trấn,nhỏ
ở miền nam nước,pháp
chúng ta sẽ bay về vào sáng chủ,nhật
xin chào các quý,cô
xin lỗi đã làm,phiền
chúng tôi có vẻ hơi bị lạc một,chút
các cô có biết tên con,phố
có tượng nữ thần tự do,không
thực ra nó ở trên một hòn đảo,riêng
à phải,rồi
cảm ơn,rất
tên tôi là ignatius peabody,nobel
từ đông westerton,missouri
còn đây là bạn tôi,ted
xin chào tôi là,colleen
chào,colleen
,lindsay
chào,lindsay
các quý cô đây đã rất tử tế với chúng,tôi
các cô nghĩ sao,nếu
đừng bận,tâm
không việc gì,thế
,à
chúng tôi sẽ rời đi vào sáng chủ,nhật
thật tốt nếu có vài người new,york
dẫn chúng tôi tham,quan
đúng,vậy
tối nay chúng tôi bận mất,rồi
nhưng chiều mai thì,sao
sau bữa,trưa
ồ thế,chứ
chúng tôi có nên các cô muốn gặp ở,đây
ngay trước mac quán maclaren,chứ
một quán rượu khá tồi,tàn
nhưng được,thôi
thật sao tôi thì không thấy tồi tàn,lắm
nó khá tồi,tàn
tôi nghĩ nó,ổn
gặp lại các anh ngày,mai
được,rồi
tôi chỉ muốn nói trông như một quán,rượu
nơi nhiều người tuyệt vời hay,tới
thôi vậy là đủ,rồi
vậy gael,hả
vẫn gắn,kết
ừ mọi chuyện rất,tuyệt
thú vị kỳ diệu tuyệt,vời
hơi quá rồi,đó
việc gì đang xảy,ra
giờ khi đang ở,nhà
tôi bỗng cảm thấy phiền toái với những,thứ
mình từng rất thích trong kỳ,nghỉ
đây nếm thử,xem
hãy cảm nhận món ăn của,em
ngon,quá
đây nếm thử,xem
hãy cảm nhận món ăn của,em
ghế,sofa
giờ chỉ còn chúng ta,thôi
anh phải có,em
anh phải có,em
,laptop
cậu biết gì nữa,không
tôi vẫn thấy cát ở tất cả mọi,nơi
ý là chúng tôi đã không đi,biển
từ hồi ở,argentina
vậy đống cát đó ở đâu,ra
có lẽ cậu chỉ đang trở,lại
làm bản thân cậu trước chuyến,đi
nhưng tôi không,muốn
tôi đã rất vui khi ở,đó
không cậu biết gì,không
tôi phàn nàn đủ,rồi
tôi đang thay,đổi
chỉ cần thuận theo tự nhiên,thôi
gael anh đi tiểu lúc em đang,tắm
được,rồi
được rồi robin ngày xưa sẽ,nói
anh kia đang có người,đấy
nhưng giờ thì em ổn với chuyện,đó
tiểu tiếp,đi
thật ra,thì
nếu xong rồi sao anh không vào,đây
tham gia cùng em,nhỉ
đừng ngại nếu tôi làm vậy nhé,cưng
gael có một tên,kỳ
xin,chào
,chào
tin tốt,đây
anh mới kết bạn với mấy khách du,lịch
em thấy,sao
nếu họ ở lại với chúng ta mãi,mãi
ngày tốt,lành
ngày tốt,lành
đây anh sẽ ký vào thư cảm ơn này,chứ
cả hai,mặt
em viết đầy hai mặt thư cảm,ơn
cho người họ hàng thứ ba của,anh
vì một chiếc máy,xay
em thậm chí chưa thèm mở,hộp
chà việc đó,ừ
đó là một cái máy xay,tốt
nếu em thích nó đến,thế
sao không cưới nó luôn,đi
em không thể em cưới anh,rồi
đó cũng là lý do ta có cái máy xay,đó
có chuyện gì,sao
không không có gì,hết
có thể có chuyện gì,chứ
ngoại trừ việc khi em,chết
anh sẽ phát hiện,ra
câu nói em dành để an ủi,anh
trong quãng đời còn,lại
là hủy đặt tạp chí vogue,đi
sao anh có thể mở lá thư của,em
đó không phải một lá,thư
